question_id,article_key,retrieval_group,qa_f1,citation_f1,citation_validity,answer_correctness,faithfulness,answer_relevancy
0028e5ee411f4dd9837c601ad7f0cc4a,newsqa_e94c6ff873e518fb,gold_in_top5,0.2857,1.0,1.0,0.8888,1.0,0.9937
01110d58a77142f9a89705de4d78dbac,newsqa_e103965bf4dcc4a3,gold_in_top5,0.6667,0.6667,1.0,0.9193,1.0,0.737
023e088f89274e2abd8a49edd96a408d,newsqa_febedf72670536ac,gold_in_top5,0.6667,1.0,1.0,0.9462,1.0,0.9734
0372808323d540e3859a93d9ae4843f1,newsqa_443d6416eafb191d,gold_in_top5,0.5714,0.0,1.0,0.9417,1.0,0.4231
03905a27a5b841e59153c2e3de3c99f4,newsqa_17c27b355a1a5aab,gold_in_top5,0.5714,1.0,1.0,0.8728,1.0,0.49
040fd7f085b64969856b71c49b068884,newsqa_4777e0afeb7aa8fa,gold_in_top5,0.2857,1.0,1.0,0.8525,1.0,0.5733
04676862004644f18aa94ff54107047c,newsqa_0152112af16a9928,gold_in_top5,0.9091,1.0,1.0,0.9672,1.0,0.5044
047c102fd84d4e478afe36ce9a384265,newsqa_e94c6ff873e518fb,gold_in_top5,0.25,0.6667,1.0,0.8274,1.0,0.7636
051e0cb33cb64409bbf8e8e79165bacf,newsqa_245acfdafc0e918c,gold_in_top5,1.0,1.0,1.0,0.9892,1.0,0.6083
0641421ccb1349ff8a9131e411e0a878,newsqa_0c2912d1a7649e6b,gold_not_in_top5,0.0,0.0,0.0,0.0362,1.0,0.0
06ad4f09434a47e7a9563d96bde0e71f,newsqa_77e80b6efb6947bc,gold_in_top5,1.0,1.0,1.0,0.9976,1.0,0.459
0779694d75bc4c859ea6dd084ca62ae8,newsqa_81b50e0b7878d2ef,gold_in_top5,0.3333,0.5,1.0,0.6098,1.0,0.5988
096b55148bea4c5c9368d672892e9447,newsqa_b8d2b51b5bca4a04,gold_not_in_top5,0.8889,0.0,1.0,0.9791,1.0,0.5033
09c79cbef9b6454cac1fe2e0aeb0cbf8,newsqa_698a0c6a8c4d4dd5,gold_in_top5,0.3636,1.0,1.0,0.8438,1.0,0.7248
09dc411bbb1f48eaa2263fd2feedfd7e,newsqa_b1893e80b00a4c2f,gold_in_top5,0.1667,1.0,1.0,0.9017,1.0,0.8309
0a080a3af08b47bf9adda601a84ac0fc,newsqa_92fd6eaaa327fc32,gold_in_top5,0.1429,1.0,1.0,0.8591,1.0,1.0
0a42325e79534043a17bcbb10e870779,newsqa_21bc17a4d743572e,gold_in_top5,0.6667,1.0,1.0,0.9495,1.0,0.3112
0af0869096df4dff8325c3f2ff584087,newsqa_1f36fa85d4124a37,gold_in_top5,0.7857,1.0,1.0,0.9331,1.0,0.9717
0cb2c91e1de243f988fb1da96906374f,newsqa_81b50e0b7878d2ef,gold_in_top5,0.7143,1.0,1.0,0.9457,1.0,0.6523
0cee4e0245b54d429412963ad22f68ab,newsqa_5cafead522d3597d,gold_in_top5,0.2143,1.0,1.0,0.797,0.5,0.8253
0d29f96a620a43bd99661dbfb7072b59,newsqa_c703a81377e10722,gold_in_top5,0.4444,1.0,1.0,0.8589,0.0,1.0
11199ef38b1946959b670f145a229301,newsqa_873617d2e2339534,gold_in_top5,0.1333,1.0,1.0,0.8323,0.0,0.9157
116602c25c3e4b33b7a5a111f9174cbe,newsqa_17c27b355a1a5aab,gold_in_top5,1.0,1.0,1.0,0.6965,1.0,0.1443
