article_key,qa_f1,citation_f1,citation_validity,answer_correctness,faithfulness,answer_relevancy
newsqa_0152112af16a9928,0.650875,1.0,1.0,0.861725,1.0,0.5357
newsqa_0c2912d1a7649e6b,0.64015,0.666675,0.75,0.7147749999999999,1.0,0.42865000000000003
newsqa_1410c9eb3296d4dc,0.76754,1.0,1.0,0.8297399999999999,1.0,0.61376
newsqa_17c27b355a1a5aab,0.6289111111111111,1.0,1.0,0.8497444444444445,1.0,0.45811111111111114
newsqa_1ab1cffb5fbd3f00,0.44198333333333334,0.74445,1.0,0.8308,1.0,0.7348833333333333
newsqa_1f36fa85d4124a37,0.51854,1.0,1.0,0.87264,1.0,0.71724
newsqa_21bc17a4d743572e,0.627,0.8333333333333334,1.0,0.9044666666666666,1.0,0.6790166666666666
newsqa_222f31e99c0d6ddc,0.30954000000000004,1.0,1.0,0.85662,1.0,0.83026
newsqa_245acfdafc0e918c,0.3838166666666667,0.7777833333333333,0.8333333333333334,0.6327666666666666,0.8333333333333334,0.6927833333333333
newsqa_25a5c22cc9b7159e,0.29158,0.8,1.0,0.62716,1.0,0.82356
newsqa_30b4331a29979759,0.36365,1.0,1.0,0.4592,1.0,0.8595999999999999
newsqa_346f700136ab004b,0.40007499999999996,0.5,1.0,0.48105000000000003,0.916675,0.72515
newsqa_3da4301e9200d165,0.433325,0.666675,1.0,0.8521,1.0,0.558475
newsqa_43dc88ad8f8b4047,0.26698571428571427,0.8571428571428571,1.0,0.7896142857142857,0.8571428571428571,0.7665428571428572
newsqa_443d6416eafb191d,0.400325,0.75,1.0,0.8339,1.0,0.6963
newsqa_444579549f240e1d,0.3452,0.33334,1.0,0.7289,0.9,0.7820400000000001
newsqa_4777e0afeb7aa8fa,0.472775,1.0,1.0,0.867325,0.875,0.659425
newsqa_51e27ebc93e28585,0.6094625,0.875,1.0,0.794725,1.0,0.5904
newsqa_584b9ddcd85d3242,0.49689999999999995,0.3333333333333333,1.0,0.8897666666666666,0.8333333333333334,0.6147166666666667
newsqa_5cafead522d3597d,0.34922,1.0,1.0,0.8256600000000001,0.83334,0.74666
newsqa_698a0c6a8c4d4dd5,0.42652,0.8,0.8,0.6726,1.0,0.63098
newsqa_77e80b6efb6947bc,0.5637875,1.0,1.0,0.8182875000000001,0.875,0.5815
newsqa_81b50e0b7878d2ef,0.42065714285714284,0.7571428571428571,1.0,0.6765571428571429,1.0,0.5474285714285714
newsqa_8316de452f78dfa3,0.4052,0.8333333333333334,0.8333333333333334,0.6901999999999999,1.0,0.4733833333333333
newsqa_873617d2e2339534,0.6165166666666667,1.0,1.0,0.8331833333333334,0.7777833333333333,0.6278833333333333
newsqa_8ba6b26c059ca5e4,0.27425,0.6389,1.0,0.52825,0.8333333333333334,0.65835
newsqa_8db4b769ce5b0df1,0.4763,0.7,1.0,0.8606,0.9,0.64722
newsqa_92fd6eaaa327fc32,0.5630333333333334,0.7777833333333333,1.0,0.9366666666666666,1.0,0.5822833333333334
newsqa_9e88962146f43191,0.331075,0.6875,0.875,0.6155125,0.8125,0.683425
newsqa_a4131373a363e635,0.19681666666666664,0.6666666666666666,1.0,0.6610166666666667,0.9166666666666666,0.7728999999999999
newsqa_ab90c0a994bfcb71,0.6000000000000001,1.0,1.0,0.88095,1.0,0.5606
newsqa_afccd6cf34627602,0.33074000000000003,0.41332,1.0,0.56042,1.0,0.56482
newsqa_b1893e80b00a4c2f,0.28218125,0.6458375000000001,0.875,0.526025,0.875,0.70669375
newsqa_b280827599ce44b1,0.32866,0.8,1.0,0.5301400000000001,1.0,0.76352
newsqa_b424ae554bc7ef14,0.44167500000000004,0.416675,0.75,0.641125,1.0,0.33665
newsqa_b4a8232d618b4dd7,0.41112000000000004,0.73334,1.0,0.72842,0.8,0.68998
newsqa_b8d2b51b5bca4a04,0.3422,0.2857142857142857,0.8571428571428571,0.4947142857142857,0.8571428571428571,0.6831857142857143
newsqa_bfc677dd63cad6a7,0.3834375,0.625,0.875,0.59395,0.875,0.6574
newsqa_c703a81377e10722,0.5087833333333334,0.8333333333333334,1.0,0.7646166666666666,0.8333333333333334,0.7761
newsqa_d2c46b8de7a83bb9,0.2691,0.8,0.8,0.6705,0.6,0.57084
newsqa_dcdc1a7dff7beaa4,0.36595,0.5,0.5,0.41765,1.0,0.4152666666666667
newsqa_df655fab1b1fd2f2,0.41985,0.416675,1.0,0.680175,0.916675,0.691425
newsqa_e103965bf4dcc4a3,0.42205,0.7500166666666667,1.0,0.72765,1.0,0.7627166666666666
newsqa_e94c6ff873e518fb,0.3591166666666667,0.7777833333333333,0.8333333333333334,0.7222666666666667,0.8333333333333334,0.7111166666666667
newsqa_ed82a8d4afff04f8,0.49490000000000006,0.8333333333333334,0.8333333333333334,0.7147666666666667,0.8333333333333334,0.30106666666666665
newsqa_ede2531a00661102,0.4756833333333333,1.0,1.0,0.7910499999999999,1.0,0.6878833333333333
newsqa_f2750e2ee0f22dcd,0.4927142857142857,0.30952857142857143,1.0,0.6935285714285715,1.0,0.8174428571428571
newsqa_febedf72670536ac,0.26288,0.6,1.0,0.68228,1.0,0.85016
newsqa_fef3ea171bcb87eb,0.594,0.416675,1.0,0.897575,1.0,0.40507499999999996
newsqa_ff6d7105a471e9ab,0.39525,0.416675,1.0,0.63695,1.0,0.7121999999999999
