case_type,partition,policy,n,decision_errors,generation_failures
answerable_control,development,B0,61,0,0
answerable_control,development,B1,61,0,0
answerable_control,final,B0,26,0,0
answerable_control,final,B1,26,0,0
controlled_context_ablation,development,B0,16,0,0
controlled_context_ablation,development,B1,16,0,0
controlled_context_ablation,final,B0,6,0,0
controlled_context_ablation,final,B1,6,0,0
counterfactual,development,B0,15,2,1
counterfactual,development,B1,15,1,1
counterfactual,final,B0,7,1,0
counterfactual,final,B1,7,2,0
external_unanswerable,development,B0,15,0,0
external_unanswerable,development,B1,15,0,0
external_unanswerable,final,B0,7,1,1
external_unanswerable,final,B1,7,1,1
natural_retrieval_miss,development,B0,2,0,0
natural_retrieval_miss,development,B1,2,0,0
natural_retrieval_miss,final,B0,1,0,0
natural_retrieval_miss,final,B1,1,0,0
partial_weak_evidence,development,B0,15,0,0
partial_weak_evidence,development,B1,15,0,0
partial_weak_evidence,final,B0,7,0,0
partial_weak_evidence,final,B1,7,0,0
removed_article,development,B0,16,2,0
removed_article,development,B1,16,0,0
removed_article,final,B0,6,0,0
removed_article,final,B1,6,0,0
